,0
0,1000000.0
1,999982.5815
2,999970.6745
3,999959.9128999999
4,999938.5526999999
5,999944.9962999999
6,999925.7962999998
7,999932.9962999999
8,999953.7962999998
9,999964.3158999999
10,999981.5524999999
11,1000027.2299999999
12,999991.2523999999
13,999995.2796
14,999987.306
15,999949.506
16,999944.4223
17,999842.4389000001
18,999808.8389
19,999777.6913000001
20,999809.6313000001
21,999790.8575
22,999942.1115
23,999892.9527
24,999705.7975000001
25,999703.2425000002
26,999560.5870000002
27,999636.4495000001
28,999880.2025000002
29,999916.7295000001
30,1000015.2525000002
31,999883.3665000001
32,1000156.2905000001
33,1000179.594
34,1000275.0955
35,1000509.8905
36,1000820.7710000001
37,1000852.0335
38,1000757.8940000001
39,1000463.8940000001
40,1000238.4940000001
41,1000326.6940000001
42,1000199.2940000001
43,1000189.4940000001
44,1000130.6940000001
45,1000228.6940000001
46,999699.4940000001
47,999405.4940000001
48,999346.6940000001
49,999346.6940000001
50,998954.6940000001
51,999464.2940000001
52,999327.094
53,999052.6940000001
54,998925.2940000001
55,998072.6940000001
56,997935.4940000001
57,998043.2940000001
58,998337.2940000001
59,998141.2940000001
60,997680.6940000001
61,997631.6940000001
62,997827.6940000001
63,997670.8940000001
64,997406.2940000001
65,998043.2940000001
66,998102.094
67,998082.4940000001
68,998219.6940000001
69,998445.094
70,998601.8940000001
71,998337.2940000001
72,998543.094
73,998180.4940000001
74,998082.4940000001
75,998160.8940000001
76,998895.8940000001
77,997710.094
78,998160.8940000001
79,997906.094
80,998219.6940000001
81,997651.2940000001
82,997670.8940000001
83,997994.2940000001
84,998043.2940000001
85,996955.4940000001
86,996681.094
87,996661.4940000001
88,995838.2940000001
89,995377.6940000001
90,995358.094
91,995867.6940000001
92,995093.4940000001
93,994554.4940000001
94,994662.2940000001
95,994172.2940000001
96,994280.094
97,995260.094
98,995083.6940000001
99,995554.094
100,995367.8940000001
101,995181.6940000001
102,995377.6940000001
103,995044.4940000001
104,994848.4940000001
105,995583.4940000001
106,995103.2940000001
107,995328.6940000001
108,995024.8940000001
109,994770.094
110,995034.6940000001
111,995465.8940000001
112,994603.4940000001
113,994946.4940000001
114,994966.094
115,995416.8940000001
116,995465.8940000001
117,995348.2940000001
118,995456.094
119,995269.8940000001
120,995652.094
121,995407.094
122,995808.8940000001
123,995152.2940000001
124,995044.4940000001
125,995309.094
126,995103.2940000001
127,995691.2940000001
128,995416.8940000001
129,995818.6940000001
130,996573.2940000001
131,996681.094
132,996289.094
133,996230.2940000001
134,995377.6940000001
135,995583.4940000001
136,995289.4940000001
137,995593.2940000001
138,995407.094
139,995181.6940000001
140,994583.8940000001
141,993662.6940000001
142,993672.4940000001
143,994525.094
144,994877.8940000001
145,995230.6940000001
146,996534.094
147,996818.2940000001
148,996573.2940000001
149,996308.6940000001
150,996436.094
151,996426.2940000001
152,995603.094
153,995240.4940000001
154,995759.8940000001
155,995897.094
156,995779.4940000001
157,995318.8940000001
158,995289.4940000001
159,995436.4940000001
160,995299.2940000001
161,994113.4940000001
162,993986.094
163,994368.2940000001
164,993476.4940000001
165,993388.2940000001
166,992898.2940000001
167,991771.2940000001
168,990810.8940000001
169,991281.2940000001
170,992966.8940000001
171,992075.094
172,991673.2940000001
