Date,Price,Open,High,Low,Vol,Change,200EMA
2023.06.14,1.0787,1.079,1.0797,1.0785,0,-0.04,1.069073551
2023.06.13,1.0791,1.0755,1.0825,1.0754,0,0.32,1.068976803
2023.06.12,1.0757,1.0751,1.0791,1.0733,0,0.09,1.068875062
2023.06.09,1.0747,1.0782,1.0786,1.0742,0,-0.32,1.06880647
2023.06.08,1.0781,1.0699,1.0788,1.0696,0,0.79,1.068747238
2023.06.07,1.0697,1.0695,1.074,1.0668,0,0.06,1.068653241
2023.06.06,1.0691,1.0714,1.0733,1.0667,0,-0.2,1.068642721
2023.06.05,1.0712,1.0712,1.0724,1.0674,0,0.06,1.068638125
2023.06.02,1.0706,1.0762,1.078,1.0704,0,-0.51,1.068612377
2023.06.01,1.0761,1.069,1.0769,1.0661,0,0.68,1.068592401
2023.05.31,1.0688,1.0736,1.0737,1.0634,0,-0.42,1.068516948
2023.05.30,1.0733,1.0707,1.0747,1.0672,0,0.26,1.068514103
2023.05.29,1.0705,1.0726,1.0745,1.0705,0,-0.18,1.068466004
2023.05.26,1.0724,1.0722,1.076,1.0701,0,0.05,1.068445562
2023.05.25,1.0719,1.075,1.0757,1.0707,0,-0.27,1.068405819
2023.05.24,1.0748,1.0775,1.0802,1.0747,0,-0.19,1.068370701
2023.05.23,1.0768,1.0812,1.0821,1.076,0,-0.4,1.068306085
2023.05.22,1.0811,1.0814,1.0832,1.0795,0,0.08,1.068220719
2023.05.19,1.0802,1.0771,1.0829,1.076,0,0.31,1.068091279
2023.05.18,1.0769,1.084,1.0848,1.0762,0,-0.65,1.067969583
2023.05.17,1.0839,1.0862,1.0875,1.081,0,-0.2,1.067879831
2023.05.16,1.0861,1.0874,1.0905,1.0855,0,-0.1,1.067718824
2023.05.15,1.0872,1.0856,1.0891,1.0845,19020,0.22,1.067534088
2023.05.12,1.0848,1.0916,1.0936,1.0848,45780,-0.6,1.067336441
2023.05.11,1.0914,1.0981,1.0999,1.0899,51750,-0.6,1.067160928
2023.05.10,1.098,1.0961,1.1007,1.0941,56620,0.18,1.066917319
2023.05.09,1.096,1.1006,1.1006,1.0941,50930,-0.4,1.06660493
2023.05.08,1.1004,1.1033,1.1055,1.0999,50360,-0.12,1.066309502
2023.05.05,1.1017,1.1012,1.1049,1.0967,65810,0.05,1.065966884
