Date,Price,Open,High,Low,Change %,200EMA,20EMA
12/28/2015,1.0968,1.0965,1.0995,1.0951,-0.08%,1.1179,1.0899
12/25/2015,1.0977,1.0973,1.0979,1.0945,0.05%,1.1181,1.0891
12/24/2015,1.0972,1.0913,1.0976,1.0903,0.58%,1.1184,1.0882
12/23/2015,1.0909,1.0955,1.0957,1.0869,-0.42%,1.1186,1.0873
12/22/2015,1.0955,1.0913,1.0985,1.0901,0.37%,1.1188,1.0869
12/21/2015,1.0915,1.0863,1.0941,1.0848,0.43%,1.1191,1.086
12/18/2015,1.0868,1.0828,1.0877,1.0806,0.40%,1.1194,1.0854
12/17/2015,1.0825,1.0915,1.0915,1.08,-0.81%,1.1197,1.0853
12/16/2015,1.0913,1.0932,1.1008,1.0888,-0.14%,1.1201,1.0855
12/15/2015,1.0928,1.0991,1.1059,1.0903,-0.58%,1.1203,1.0849
12/14/2015,1.0992,1.0985,1.105,1.0946,0.03%,1.1206,1.0841
12/11/2015,1.0989,1.0943,1.1033,1.0926,0.44%,1.1208,1.0825
12/10/2015,1.0941,1.1027,1.1029,1.0924,-0.76%,1.1211,1.0808
12/09/2015,1.1025,1.0888,1.1042,1.0877,1.20%,1.1213,1.0794
12/08/2015,1.0894,1.0835,1.0901,1.0827,0.54%,1.1215,1.077
12/07/2015,1.0835,1.0859,1.0888,1.0795,-0.47%,1.1218,1.0757
12/04/2015,1.0886,1.0939,1.0957,1.0837,-0.50%,1.1222,1.0748
12/03/2015,1.0941,1.0616,1.0983,1.0541,3.07%,1.1226,1.0734
12/02/2015,1.0615,1.0633,1.0644,1.0553,-0.15%,1.1228,1.0712
12/01/2015,1.0631,1.0566,1.0638,1.0562,0.63%,1.1235,1.0722
11/30/2015,1.0564,1.0591,1.0596,1.0558,-0.27%,1.1241,1.0732
11/27/2015,1.0593,1.061,1.064,1.057,-0.16%,1.1248,1.0749
11/26/2015,1.061,1.0627,1.0633,1.06,-0.16%,1.1254,1.0766
11/25/2015,1.0627,1.0642,1.069,1.0566,-0.13%,1.1261,1.0782
11/24/2015,1.0641,1.0634,1.0674,1.062,0.05%,1.1267,1.0799
11/23/2015,1.0636,1.0647,1.0658,1.0593,-0.09%,1.1273,1.0815
11/20/2015,1.0646,1.0736,1.0745,1.0641,-0.82%,1.128,1.0834
11/19/2015,1.0734,1.0657,1.0764,1.0654,0.70%,1.1286,1.0854
11/18/2015,1.0659,1.064,1.0694,1.0617,0.14%,1.1292,1.0867
11/17/2015,1.0644,1.069,1.0696,1.0633,-0.39%,1.1298,1.0889
11/16/2015,1.0686,1.0751,1.0781,1.0675,-0.86%,1.1304,1.0914
11/13/2015,1.0779,1.0816,1.0818,1.0715,-0.35%,1.1311,1.0938
11/12/2015,1.0817,1.0743,1.0829,1.069,0.68%,1.1316,1.0955
