Date,Price,Open,High,Low,Vol,Change,200EMA,20EMA
2023.06.14,1.0787,1.079,1.0797,1.0785,0,-0.04,1.0691,1.0772
2023.06.13,1.0791,1.0755,1.0825,1.0754,0,0.32,1.069,1.077
2023.06.12,1.0757,1.0751,1.0791,1.0733,0,0.09,1.0689,1.0768
2023.06.09,1.0747,1.0782,1.0786,1.0742,0,-0.32,1.0688,1.0769
2023.06.08,1.0781,1.0699,1.0788,1.0696,0,0.79,1.0687,1.0772
2023.06.07,1.0697,1.0695,1.074,1.0668,0,0.06,1.0687,1.0771
2023.06.06,1.0691,1.0714,1.0733,1.0667,0,-0.2,1.0686,1.0778
2023.06.05,1.0712,1.0712,1.0724,1.0674,0,0.06,1.0686,1.0787
2023.06.02,1.0706,1.0762,1.078,1.0704,0,-0.51,1.0686,1.0795
2023.06.01,1.0761,1.069,1.0769,1.0661,0,0.68,1.0686,1.0805
2023.05.31,1.0688,1.0736,1.0737,1.0634,0,-0.42,1.0685,1.0809
2023.05.30,1.0733,1.0707,1.0747,1.0672,0,0.26,1.0685,1.0822
2023.05.29,1.0705,1.0726,1.0745,1.0705,0,-0.18,1.0685,1.0832
2023.05.26,1.0724,1.0722,1.076,1.0701,0,0.05,1.0684,1.0845
2023.05.25,1.0719,1.075,1.0757,1.0707,0,-0.27,1.0684,1.0858
2023.05.24,1.0748,1.0775,1.0802,1.0747,0,-0.19,1.0684,1.0872
2023.05.23,1.0768,1.0812,1.0821,1.076,0,-0.4,1.0683,1.0885
2023.05.22,1.0811,1.0814,1.0832,1.0795,0,0.08,1.0682,1.0898
2023.05.19,1.0802,1.0771,1.0829,1.076,0,0.31,1.0681,1.0907
2023.05.18,1.0769,1.084,1.0848,1.0762,0,-0.65,1.068,1.0918
2023.05.17,1.0839,1.0862,1.0875,1.081,0,-0.2,1.0679,1.0934
2023.05.16,1.0861,1.0874,1.0905,1.0855,0,-0.1,1.0677,1.0943
2023.05.15,1.0872,1.0856,1.0891,1.0845,19020,0.22,1.0675,1.0952
2023.05.12,1.0848,1.0916,1.0936,1.0848,45780,-0.6,1.0673,1.0961
2023.05.11,1.0914,1.0981,1.0999,1.0899,51750,-0.6,1.0672,1.0972
2023.05.10,1.098,1.0961,1.1007,1.0941,56620,0.18,1.0669,1.0979
2023.05.09,1.096,1.1006,1.1006,1.0941,50930,-0.4,1.0666,1.0978
2023.05.08,1.1004,1.1033,1.1055,1.0999,50360,-0.12,1.0663,1.098
2023.05.05,1.1017,1.1012,1.1049,1.0967,65810,0.05,1.066,1.0978
2023.05.04,1.1011,1.106,1.1092,1.0985,88740,-0.43,1.0656,1.0974
2023.05.03,1.1059,1.0999,1.1092,1.0999,72710,0.55,1.0653,1.097
2023.05.02,1.0999,1.0973,1.1009,1.0941,55310,0.22,1.0648,1.096
2023.05.01,1.0975,1.1035,1.1038,1.0963,34400,-0.41,1.0645,1.0956
2023.04.28,1.102,1.1028,1.1046,1.0962,69310,-0.06,1.0642,1.0954
2023.04.27,1.1027,1.1042,1.1064,1.0992,78360,-0.12,1.0638,1.0948
2023.04.26,1.104,1.0972,1.1096,1.0967,61830,0.62,1.0634,1.0939
2023.04.25,1.0972,1.1046,1.1068,1.0963,66630,-0.62,1.063,1.0929
2023.04.24,1.1041,1.0991,1.1051,1.0965,62380,0.49,1.0626,1.0924
2023.04.21,1.0987,1.097,1.0994,1.0938,52680,0.18,1.0622,1.0912
2023.04.20,1.0967,1.0956,1.0991,1.0933,60870,0.12,1.0619,1.0904
2023.04.19,1.0954,1.0972,1.0984,1.0917,52080,-0.15,1.0615,1.0897
2023.04.18,1.0971,1.0924,1.0984,1.0921,61850,0.41,1.0612,1.0891
2023.04.17,1.0926,1.099,1.1,1.0908,62870,-0.67,1.0608,1.0883
2023.04.14,1.1,1.1043,1.1077,1.0972,70220,-0.4,1.0605,1.0878
2023.04.13,1.1044,1.0992,1.1069,1.0977,80320,0.5,1.0601,1.0865
2023.04.12,1.0989,1.0913,1.1001,1.0911,65050,0.72,1.0596,1.0846
2023.04.11,1.091,1.0863,1.0928,1.0857,59990,0.47,1.0592,1.0831
2023.04.10,1.0859,1.0901,1.0918,1.0831,29790,-0.35,1.0589,1.0823
2023.04.07,1.0897,1.0923,1.0926,1.0876,32280,-0.21,1.0587,1.0819
2023.04.06,1.092,1.0903,1.0939,1.0884,50120,0.16,1.0583,1.0811
2023.04.05,1.0903,1.0953,1.097,1.0891,62650,-0.45,1.058,1.08
2023.04.04,1.0952,1.0901,1.0974,1.0883,62680,0.52,1.0577,1.0789
2023.04.03,1.0895,1.0847,1.0918,1.0788,74640,0.52,1.0573,1.0772
2023.03.31,1.0839,1.0906,1.0927,1.0836,71770,-0.57,1.057,1.0759
2023.03.30,1.0901,1.0844,1.0927,1.0823,85760,0.53,1.0567,1.075
2023.03.29,1.0843,1.0844,1.0872,1.0817,80210,0,1.0564,1.0734
2023.03.28,1.0843,1.0797,1.0849,1.0795,79160,0.44,1.0561,1.0723
2023.03.27,1.0796,1.0767,1.08,1.0745,68790,0.34,1.0558,1.071
2023.03.24,1.0759,1.0829,1.084,1.0713,70120,-0.66,1.0556,1.0701
2023.03.23,1.083,1.0856,1.0931,1.0824,73360,-0.23,1.0554,1.0695
2023.03.22,1.0855,1.0768,1.0913,1.0759,91850,0.82,1.0551,1.0681
2023.03.21,1.0767,1.0721,1.0789,1.0704,105660,0.45,1.0548,1.0663
2023.03.20,1.0719,1.0697,1.0732,1.0631,79980,0.5,1.0546,1.0652
2023.03.17,1.0666,1.0609,1.0686,1.0605,92630,0.58,1.0544,1.0645
2023.03.16,1.0605,1.0577,1.0637,1.055,123730,0.28,1.0543,1.0643
2023.03.15,1.0575,1.0733,1.0761,1.0516,119110,-1.46,1.0542,1.0647
2023.03.14,1.0732,1.0731,1.075,1.0678,106360,0.03,1.0542,1.0654
2023.03.13,1.0729,1.0647,1.0749,1.0647,135150,0.81,1.054,1.0646
2023.03.10,1.0643,1.058,1.0702,1.0573,91430,0.6,1.0538,1.0637
2023.03.09,1.058,1.0545,1.0591,1.0538,66710,0.34,1.0537,1.0637
2023.03.08,1.0544,1.0549,1.0575,1.0524,68370,-0.03,1.0536,1.0643
2023.03.07,1.0547,1.0681,1.0695,1.0546,72600,-1.23,1.0536,1.0653
2023.03.06,1.0678,1.0619,1.0695,1.0615,71600,0.43,1.0536,1.0664
2023.03.03,1.0632,1.0598,1.0639,1.0587,69230,0.34,1.0535,1.0663
2023.03.02,1.0596,1.0668,1.0674,1.0575,70140,-0.65,1.0534,1.0666
