Date,Price,Open,High,Low,200EMA
6/14/2017,1.1218,1.121,1.1296,1.1191,1.0894
6/13/2017,1.1216,1.1204,1.1225,1.1185,1.089
06/12/2017,1.1203,1.1196,1.1235,1.1193,1.0887
06/09/2017,1.1195,1.1216,1.124,1.1168,1.0884
06/08/2017,1.1214,1.1257,1.127,1.1195,1.0881
06/07/2017,1.1257,1.1277,1.1284,1.1205,1.0878
06/06/2017,1.1277,1.1254,1.1286,1.124,1.0874
06/05/2017,1.1254,1.1279,1.1286,1.1235,1.087
06/02/2017,1.1282,1.1213,1.1287,1.1205,1.0866
06/01/2017,1.1213,1.1242,1.1258,1.1203,1.0862
5/31/2017,1.1244,1.1187,1.1254,1.1166,1.0858
5/30/2017,1.1185,1.1166,1.1208,1.1111,1.0854
5/29/2017,1.1166,1.1178,1.1191,1.116,1.0851
5/26/2017,1.1183,1.1211,1.1235,1.1159,1.0848
5/25/2017,1.121,1.1218,1.1252,1.1193,1.0844
5/24/2017,1.1219,1.1184,1.1222,1.1169,1.0841
5/23/2017,1.1183,1.1237,1.1269,1.1174,1.0837
5/22/2017,1.1238,1.1202,1.1265,1.1162,1.0833
5/19/2017,1.1207,1.1103,1.1214,1.1097,1.0829
5/18/2017,1.1103,1.116,1.1173,1.1075,1.0826
5/17/2017,1.1159,1.1083,1.1163,1.1079,1.0823
5/16/2017,1.1082,1.0976,1.1098,1.0972,1.0819
5/15/2017,1.0975,1.0926,1.0991,1.0922,1.0817
05/12/2017,1.0931,1.0863,1.0937,1.0857,1.0815
05/11/2017,1.0861,1.0869,1.0894,1.0838,1.0814
05/10/2017,1.0868,1.0874,1.09,1.0853,1.0813
05/09/2017,1.0873,1.0924,1.0934,1.0863,1.0813
05/08/2017,1.0924,1.0998,1.1024,1.0917,1.0812
05/05/2017,1.0998,1.0991,1.1003,1.0951,1.0811
05/04/2017,1.0985,1.0884,1.0987,1.0873,1.0809
05/03/2017,1.0885,1.093,1.0939,1.0883,1.0808
05/02/2017,1.093,1.0901,1.0936,1.0889,1.0807
05/01/2017,1.0899,1.0906,1.0924,1.0883,1.0806
4/28/2017,1.0897,1.0877,1.0949,1.0857,1.0805
4/27/2017,1.0873,1.0903,1.0933,1.0851,1.0804
4/26/2017,1.0903,1.0924,1.0951,1.0856,1.0803
4/25/2017,1.0926,1.0868,1.0951,1.0851,1.0802
4/24/2017,1.0867,1.089,1.0936,1.0819,1.0801
4/21/2017,1.0728,1.0719,1.0739,1.0682,1.08
4/20/2017,1.0717,1.0711,1.078,1.0709,1.0801
4/19/2017,1.0711,1.073,1.0738,1.07,1.0802
4/18/2017,1.0734,1.0644,1.0737,1.0636,1.0803
4/17/2017,1.0644,1.0615,1.0673,1.0604,1.0803
4/14/2017,1.0612,1.0615,1.0633,1.0606,1.0805
4/13/2017,1.0614,1.0664,1.0679,1.0609,1.0807
04/12/2017,1.0666,1.0606,1.0677,1.0589,1.0809
04/11/2017,1.0602,1.0595,1.0631,1.0577,1.081
04/10/2017,1.0596,1.0593,1.0609,1.0571,1.0812
04/07/2017,1.059,1.0644,1.0668,1.058,1.0814
04/06/2017,1.0644,1.0663,1.0686,1.0629,1.0817
04/05/2017,1.0663,1.0672,1.069,1.0633,1.0818
04/04/2017,1.0673,1.0669,1.0678,1.0635,1.082
04/03/2017,1.0671,1.0661,1.0684,1.0644,1.0821
3/31/2017,1.0652,1.0675,1.0705,1.0652,1.0823
3/30/2017,1.0675,1.0766,1.0772,1.0671,1.0825
3/29/2017,1.0767,1.0811,1.0827,1.0739,1.0826
3/28/2017,1.0813,1.0864,1.0873,1.0797,1.0827
3/27/2017,1.0865,1.0797,1.0905,1.0795,1.0827
3/24/2017,1.0799,1.0784,1.082,1.0761,1.0826
3/23/2017,1.0783,1.0797,1.0807,1.0769,1.0827
3/22/2017,1.0797,1.081,1.0827,1.0776,1.0827
3/21/2017,1.0811,1.074,1.0822,1.072,1.0828
3/20/2017,1.0739,1.074,1.0779,1.0725,1.0828
3/17/2017,1.0738,1.0765,1.0784,1.0728,1.0829
3/16/2017,1.0766,1.0734,1.0772,1.0706,1.0829
3/15/2017,1.0735,1.0605,1.0743,1.0604,1.083
3/14/2017,1.0604,1.0655,1.0664,1.0599,1.0831
3/13/2017,1.0654,1.0671,1.0715,1.065,1.0833
03/10/2017,1.0672,1.0577,1.0702,1.0572,1.0835
03/09/2017,1.0577,1.0541,1.0617,1.0525,1.0837
03/08/2017,1.0541,1.0566,1.0576,1.0535,1.0839
03/07/2017,1.0566,1.0583,1.0603,1.0557,1.0842
03/06/2017,1.0581,1.0617,1.0644,1.0575,1.0845
03/03/2017,1.0623,1.0508,1.0626,1.0502,1.0848
03/02/2017,1.0507,1.0547,1.0551,1.0492,1.085
03/01/2017,1.0547,1.0574,1.0589,1.0514,1.0854
2/28/2017,1.0577,1.0587,1.0632,1.057,1.0857
2/27/2017,1.0587,1.0562,1.0633,1.0551,1.0859
2/24/2017,1.0563,1.0583,1.062,1.0557,1.0862
2/23/2017,1.0581,1.0558,1.0598,1.0539,1.0865
2/22/2017,1.0556,1.0534,1.0574,1.0493,1.0868
2/21/2017,1.0537,1.0611,1.0618,1.0526,1.0871
2/20/2017,1.0614,1.0618,1.0637,1.0606,1.0875
2/17/2017,1.0614,1.0675,1.0679,1.0605,1.0877
2/16/2017,1.0674,1.06,1.0682,1.0588,1.088
2/15/2017,1.0601,1.0577,1.0611,1.0523,1.0882
2/14/2017,1.0577,1.0596,1.0633,1.056,1.0885
2/13/2017,1.0598,1.0633,1.0659,1.0591,1.0888
02/10/2017,1.0641,1.0658,1.067,1.0609,1.0891
02/09/2017,1.0656,1.0699,1.0711,1.065,1.0893
02/08/2017,1.0699,1.0682,1.0715,1.064,1.0896
02/07/2017,1.0681,1.075,1.0751,1.0654,1.0898
02/06/2017,1.075,1.0781,1.0801,1.0703,1.09
02/03/2017,1.0784,1.0759,1.08,1.0714,1.0901
02/02/2017,1.0758,1.0766,1.0829,1.0753,1.0902
02/01/2017,1.0769,1.0798,1.081,1.0731,1.0904
1/31/2017,1.0798,1.0695,1.0814,1.0684,1.0905
1/30/2017,1.0695,1.0692,1.0743,1.062,1.0906
1/27/2017,1.0699,1.0685,1.0729,1.0661,1.0908
1/26/2017,1.0682,1.0746,1.0767,1.0657,1.0911
1/25/2017,1.0748,1.0734,1.0773,1.0713,1.0913
1/24/2017,1.0731,1.0763,1.0775,1.0718,1.0915
1/23/2017,1.0765,1.0687,1.0773,1.0686,1.0916
1/20/2017,1.0703,1.0667,1.0713,1.0627,1.0918
1/19/2017,1.0664,1.0629,1.0677,1.0588,1.092
1/18/2017,1.0631,1.0713,1.0715,1.0625,1.0923
1/17/2017,1.0713,1.06,1.072,1.0595,1.0926
1/16/2017,1.0603,1.0618,1.0638,1.058,1.0928
1/13/2017,1.0644,1.0612,1.0674,1.0598,1.0931
01/12/2017,1.0613,1.0583,1.0687,1.0573,1.0934
01/11/2017,1.0582,1.0556,1.0624,1.0454,1.0937
01/10/2017,1.0554,1.0573,1.0628,1.0551,1.0941
01/09/2017,1.0574,1.0539,1.0584,1.051,1.0944
01/06/2017,1.0533,1.0606,1.0624,1.0523,1.0948
01/05/2017,1.0607,1.0493,1.0619,1.0482,1.0952
01/04/2017,1.0488,1.0405,1.0501,1.0389,1.0956
01/03/2017,1.0406,1.0455,1.0492,1.0341,1.0961
01/02/2017,1.0459,1.0532,1.0534,1.0448,1.0966
12/30/2016,1.0516,1.0492,1.0654,1.0482,1.0971
12/29/2016,1.0492,1.0417,1.0494,1.0406,1.0976
12/28/2016,1.0412,1.0459,1.0484,1.0373,1.0981
12/27/2016,1.0457,1.0453,1.0465,1.0431,1.0986
12/26/2016,1.0456,1.0454,1.0473,1.0439,1.0992
12/23/2016,1.0457,1.0438,1.0469,1.0427,1.0997
12/22/2016,1.0437,1.0423,1.0501,1.0421,1.1003
12/21/2016,1.0425,1.0389,1.0452,1.0381,1.1008
12/20/2016,1.0387,1.0405,1.0419,1.0352,1.1014
12/19/2016,1.0402,1.0442,1.048,1.0391,1.102
12/16/2016,1.0451,1.0419,1.0477,1.0402,1.1027
12/15/2016,1.0414,1.0536,1.0544,1.0366,1.1032
12/14/2016,1.0537,1.0627,1.0671,1.0495,1.1039
12/13/2016,1.0627,1.0635,1.0668,1.0603,1.1044
12/12/2016,1.0635,1.0551,1.0652,1.0524,1.1048
12/09/2016,1.0562,1.0618,1.0632,1.0531,1.1052
12/08/2016,1.0615,1.0753,1.0873,1.0596,1.1057
