Date,Price,Open,High,Low,Change %,200EMA,20EMA,toZone,kt_score,bs_score
12/28/2015,1.0968,1.0965,1.0995,1.0951,-0.08%,1.1179,1.0899,0.00566,19.263219727460964,0.0
12/25/2015,1.0977,1.0973,1.0979,1.0945,0.05%,1.1181,1.0891,0.00476,8.4564605772545,0.0
12/24/2015,1.0972,1.0913,1.0976,1.0903,0.58%,1.1184,1.0882,0.00526,16.130448259418205,3.5870820300185637
12/23/2015,1.0909,1.0955,1.0957,1.0869,-0.42%,1.1186,1.0873,0.00816,13.069002920317313,3.834096969037402
12/22/2015,1.0955,1.0913,1.0985,1.0901,0.37%,1.1188,1.0869,0.00696,12.91241668845656,0.0
12/21/2015,1.0915,1.0863,1.0941,1.0848,0.43%,1.1191,1.086,0.00876,10.284997237211256,0.0
12/18/2015,1.0868,1.0828,1.0877,1.0806,0.40%,1.1194,1.0854,0.00406,14.690506322831443,20.255427014471554
12/17/2015,1.0825,1.0915,1.0915,1.08,-0.81%,1.1197,1.0853,0.00024,32.73896417059801,0.0
12/16/2015,1.0913,1.0932,1.1008,1.0888,-0.14%,1.1201,1.0855,0.00856,27.659483325352905,0.0
12/15/2015,1.0928,1.0991,1.1059,1.0903,-0.58%,1.1203,1.0849,0.00966,23.519339928357862,0.07775695002329047
12/14/2015,1.0992,1.0985,1.105,1.0946,0.03%,1.1206,1.0841,0.00326,18.176259316862414,0.0
12/11/2015,1.0989,1.0943,1.1033,1.0926,0.44%,1.1208,1.0825,0.00356,12.525055662351573,16.082564472581694
12/10/2015,1.0941,1.1027,1.1029,1.0924,-0.76%,1.1211,1.0808,0.00836,18.3985519169158,21.820525210912333
12/09/2015,1.1025,1.0888,1.1042,1.0877,1.20%,1.1213,1.0794,4e-05,8.295489812960566,0.0
12/08/2015,1.0894,1.0835,1.0901,1.0827,0.54%,1.1215,1.077,0.00666,16.3145026455472,0.9765323378950633
12/07/2015,1.0835,1.0859,1.0888,1.0795,-0.47%,1.1218,1.0757,0.00076,20.27445830267715,0.0
12/04/2015,1.0886,1.0939,1.0957,1.0837,-0.50%,1.1222,1.0748,0.00586,53.213723141144136,199.221416489843
12/03/2015,1.0941,1.0616,1.0983,1.0541,3.07%,1.1226,1.0734,0.00836,28.55008508573242,0.0997100686592718
12/02/2015,1.0615,1.0633,1.0644,1.0553,-0.15%,1.1228,1.0712,0.00717,8.376233329719408,23.457588667223064
12/01/2015,1.0631,1.0566,1.0638,1.0562,0.63%,1.1235,1.0722,0.00877,4.510090120160145,1.1221374139878275
11/30/2015,1.0564,1.0591,1.0596,1.0558,-0.27%,1.1241,1.0732,0.00207,12.257628324882527,0.0
11/27/2015,1.0593,1.061,1.064,1.057,-0.16%,1.1248,1.0749,0.00497,4.732256942296647,0.0
11/26/2015,1.061,1.0627,1.0633,1.06,-0.16%,1.1254,1.0766,0.00667,24.391168431118647,0.0
11/25/2015,1.0627,1.0642,1.069,1.0566,-0.13%,1.1261,1.0782,0.00837,13.89311276592974,0.32649261462878226
11/24/2015,1.0641,1.0634,1.0674,1.062,0.05%,1.1267,1.0799,0.00977,19.194318484392458,1.7294919423340185
11/23/2015,1.0636,1.0647,1.0658,1.0593,-0.09%,1.1273,1.0815,0.00927,11.39233286800771,0.0
11/20/2015,1.0646,1.0736,1.0745,1.0641,-0.82%,1.128,1.0834,0.01027,15.133045212766278,6.584273640661539
11/19/2015,1.0734,1.0657,1.0764,1.0654,0.70%,1.1286,1.0854,0.00934,14.12417153996041,0.0
11/18/2015,1.0659,1.064,1.0694,1.0617,0.14%,1.1292,1.0867,0.01157,7.628636679473889,11.142759662173122
11/17/2015,1.0644,1.069,1.0696,1.0633,-0.39%,1.1298,1.0889,0.01007,14.792061939235065,0.0
11/16/2015,1.0686,1.0751,1.0781,1.0675,-0.86%,1.1304,1.0914,0.01414,27.18571891955744,0.0
11/13/2015,1.0779,1.0816,1.0818,1.0715,-0.35%,1.1311,1.0938,0.00484,22.456347905825595,14.79345769604913
11/12/2015,1.0817,1.0743,1.0829,1.069,0.68%,1.1316,1.0955,0.00104,12.213086303939585,0.0
11/11/2015,1.0744,1.0724,1.0774,1.0705,0.19%,1.1321,1.097,0.00834,20.69152791272903,3.6469318081439503
11/10/2015,1.0724,1.0751,1.0764,1.0673,-0.26%,1.1327,1.0993,0.01034,16.60272933270201,0.7255413973166616
11/09/2015,1.0752,1.0738,1.0793,1.0719,0.10%,1.1333,1.1022,0.00754,22.548700939022,150.25808006959753
11/06/2015,1.0741,1.0886,1.0896,1.0709,-1.31%,1.1339,1.105,0.00864,12.020908529692822,0.24883377783725175
11/05/2015,1.0884,1.0865,1.0898,1.0835,0.19%,1.1345,1.1083,0.00566,15.11466901718812,51.60239799587099
11/04/2015,1.0863,1.0962,1.0968,1.0842,-0.96%,1.1349,1.1103,0.00356,14.319085521834918,0.0
11/03/2015,1.0968,1.1014,1.1031,1.0936,-0.43%,1.1354,1.1129,0.00566,19.321090112988415,0.0
11/02/2015,1.1015,1.1015,1.1053,1.1001,0.08%,1.1358,1.1146,0.00096,28.29805758894473,0.0
10/30/2015,1.1006,1.0976,1.1073,1.0964,0.27%,1.1362,1.1159,0.00186,11.020040341546858,0.0
10/29/2015,1.0976,1.0924,1.0985,1.0903,0.51%,1.1365,1.1176,0.00486,26.1656162081062,32.511438627365024
10/28/2015,1.092,1.105,1.1096,1.0894,-1.16%,1.1369,1.1197,0.00926,9.263331411278266,0.0
10/27/2015,1.1048,1.1056,1.1079,1.1029,-0.07%,1.1374,1.1226,0.00234,11.020043412211312,28.7924037278024
10/26/2015,1.1056,1.1008,1.1069,1.0987,0.34%,1.1377,1.1244,0.00314,18.447845684352725,18.023501362398466
10/23/2015,1.1018,1.1111,1.1142,1.0997,-0.80%,1.138,1.1264,0.00066,26.67979115407166,0.0
10/22/2015,1.1107,1.1338,1.1351,1.1098,-2.05%,1.1384,1.129,0.00621,16.87944703091894,0.0
10/21/2015,1.1339,1.1347,1.138,1.1335,-0.05%,1.1387,1.1309,0.0042,18.899999999999917,4.512499999999306
10/20/2015,1.1345,1.1326,1.1387,1.1324,0.16%,1.1387,1.1306,0.0048,12.50000000000035,3.2894736842103636
10/19/2015,1.1327,1.1352,1.1382,1.1307,-0.18%,1.1387,1.1302,0.003,8.100711337489841,0.0
10/16/2015,1.1347,1.1383,1.1397,1.1334,-0.32%,1.1388,1.13,0.005,15.93603603603588,0.0
10/15/2015,1.1383,1.1474,1.1496,1.1363,-0.78%,1.1388,1.1295,0.00676,13.591919191919292,9.917582417582675
10/14/2015,1.1473,1.1378,1.149,1.1374,0.83%,1.1388,1.1285,0.00224,13.603030303030595,0.0
10/13/2015,1.1379,1.1358,1.1413,1.1346,0.21%,1.1388,1.1266,0.00716,52.90000000000439,0.0
10/12/2015,1.1355,1.1355,1.1397,1.1351,-0.03%,1.1388,1.1254,0.0058,16.723595505618118,0.0
10/09/2015,1.1358,1.1282,1.1391,1.1269,0.70%,1.1388,1.1243,0.0061,18.402127659575097,0.0
10/08/2015,1.1279,1.1235,1.1325,1.1232,0.39%,1.1388,1.1231,0.0018,11.174528863178502,2.627503432640551
